Section,Item,Details,AWS Service,Monthly Cost (USD),Notes
,,,,, 
TECHNOLOGY STACK,,,,, 
Backend,Runtime,Node.js 20 + TypeScript,,, 
Backend,Framework,Express.js,,, 
Backend,ORM,Prisma ORM,,, 
Backend,Database,PostgreSQL,,, 
Backend,Auth,JWT (jsonwebtoken) + bcryptjs,,, 
Backend,Validation,Zod,,, 
Backend,File Upload,Multer + AWS S3,,, 
Backend,Security,Helmet + CORS + Rate Limiting,,, 
Backend,Queue,Bull (Redis-based job queue),,, 
,,,,, 
Web App (PWA),Framework,React 18 + TypeScript,,, 
Web App (PWA),Build Tool,Vite 5,,, 
Web App (PWA),Routing,React Router v6,,, 
Web App (PWA),State,Zustand,,, 
Web App (PWA),HTTP,Axios,,, 
Web App (PWA),Charts,Recharts,,, 
Web App (PWA),PWA,vite-plugin-pwa,,, 
Web App (PWA),Notifications,React Hot Toast,,, 
,,,,, 
Admin Panel,Framework,React 18 + TypeScript,,, 
Admin Panel,Build Tool,Vite 5,,, 
Admin Panel,Routing,React Router v6,,, 
Admin Panel,HTTP,Axios,,, 
,,,,, 
Mobile App,Framework,React Native 0.76 + Expo SDK 52,,, 
Mobile App,Navigation,React Navigation v6 (Drawer),,, 
Mobile App,State,Zustand,,, 
Mobile App,Storage,Expo SecureStore,,, 
Mobile App,Animations,React Native Reanimated,,, 
Mobile App,Build,EAS Build (Expo Application Services),,, 
,,,,, 
Database,Engine,PostgreSQL 15+,,, 
Database,ORM,Prisma with migrations,,, 
,,,,, 
========================================,,,,, 
AWS DEPLOYMENT - COST OPTIMIZED,,,,, 
========================================,,,,, 
,,,,, 
OPTION A: MINIMAL (Startup - 1-50 users),,,,, 
,,,,, 
Compute,Backend API,Single EC2 t3.micro (1 vCPU 1GB RAM),Amazon EC2 t3.micro,$8.50,Free tier eligible first 12 months
Compute,Web + Admin,Static hosting on S3 + CloudFront,S3 + CloudFront,$1.00,Minimal traffic
Database,PostgreSQL,RDS db.t3.micro (1 vCPU 1GB 20GB),Amazon RDS PostgreSQL,$15.00,Free tier eligible first 12 months
Storage,File Uploads,S3 Standard (5GB),Amazon S3,$0.12,Invoices/photos
DNS,Domain,Route 53 hosted zone,Amazon Route 53,$0.50,Per hosted zone
SSL,HTTPS,ACM Certificate (free),AWS Certificate Manager,$0.00,Free with CloudFront/ALB
,,,,, 
,OPTION A TOTAL,,,$25.12,With free tier: ~$0-5/month first year
,,,,, 
========================================,,,,, 
OPTION B: PRODUCTION (50-500 users),,,,, 
,,,,, 
Compute,Backend API,EC2 t3.small (2 vCPU 2GB RAM),Amazon EC2 t3.small,$17.00, 
Compute,Web App,S3 + CloudFront CDN,S3 + CloudFront,$3.00,Global CDN distribution
Compute,Admin Panel,S3 + CloudFront CDN,S3 + CloudFront,$1.00,Low traffic
Database,PostgreSQL,RDS db.t3.small (2 vCPU 2GB 50GB),Amazon RDS PostgreSQL,$28.00,Multi-AZ optional (+$28)
Cache,Redis,ElastiCache t3.micro (for Bull queue),Amazon ElastiCache,$13.00,Optional - can skip if no queues needed
Storage,File Uploads,S3 Standard (50GB),Amazon S3,$1.15, 
DNS,Domain,Route 53,Amazon Route 53,$0.50, 
SSL,HTTPS,ACM Certificate,AWS Certificate Manager,$0.00, 
Monitoring,Logs,CloudWatch basic,Amazon CloudWatch,$5.00, 
Backup,DB Backup,RDS automated backups (7 days),Amazon RDS,$0.00,Included with RDS
,,,,, 
,OPTION B TOTAL,,,$68.65, 
,,,,, 
========================================,,,,, 
OPTION C: SCALE (500+ users / Multi-tenant SaaS),,,,, 
,,,,, 
Compute,Backend API,ECS Fargate (2 tasks x 0.5vCPU 1GB),Amazon ECS Fargate,$36.00,Auto-scaling
Compute,Load Balancer,Application Load Balancer,Amazon ALB,$18.00,Distributes traffic
Compute,Web App,S3 + CloudFront CDN,S3 + CloudFront,$5.00, 
Compute,Admin Panel,S3 + CloudFront CDN,S3 + CloudFront,$2.00, 
Database,PostgreSQL,RDS db.t3.medium (2 vCPU 4GB 100GB),Amazon RDS PostgreSQL,$65.00,Multi-AZ recommended
Cache,Redis,ElastiCache t3.small,Amazon ElastiCache,$25.00,Session + Bull queue
Storage,File Uploads,S3 Standard (200GB),Amazon S3,$4.60, 
DNS,Domain,Route 53,Amazon Route 53,$0.50, 
SSL,HTTPS,ACM Certificate,AWS Certificate Manager,$0.00, 
Monitoring,Full,CloudWatch + X-Ray,Amazon CloudWatch,$15.00, 
CI/CD,Pipeline,CodePipeline + CodeBuild,AWS CodePipeline,$10.00, 
Notifications,Push,SNS for mobile push,Amazon SNS,$1.00, 
Email,Transactional,SES for OTP/notifications,Amazon SES,$1.00, 
,,,,, 
,OPTION C TOTAL,,,$183.10, 
,,,,, 
========================================,,,,, 
DEPLOYMENT STEPS,,,,, 
========================================,,,,, 
