Section,Item,Details,Cost (USD),Cost (INR approx),Priority,Status
,,,,,,
========================================,,,,,,
COMPLETE AWS DEPLOYMENT + CAREER GUIDE,,,,,,
BrickPro - End to End,,,,,,
========================================,,,,,,
,,,,,,
========================================,,,,,,
PART 1: THINGS TO BUY / PURCHASE,,,,,,
========================================,,,,,,
,,,,,,
Category,Item,Where to Buy,Cost (USD),Cost (INR),One-time/Monthly,Notes
Domain,brickpro.in,Hostinger / GoDaddy / Namecheap,$8-12/year,₹700-1000/year,Annual,Use .in for India-focused
Domain,Alternative: brickpro.co.in,BigRock / GoDaddy,$5/year,₹400/year,Annual,Cheaper option
SSL Certificate,Free with AWS ACM,AWS Certificate Manager,$0,$0,Free,Auto-renews
AWS Account,AWS Free Tier,aws.amazon.com,$0,$0,Free,12 months free tier
Google Play Console,Developer Account,play.google.com/console,$25,₹2100,One-time,Lifetime access
Apple Developer,Developer Program,developer.apple.com,$99/year,₹8300/year,Annual,Required for App Store
Expo Account,EAS Build (Free tier),expo.dev,$0,$0,Free,26 builds/month free
GitHub Account,Code Repository,github.com,$0,$0,Free,Private repos free
,,,,,,
TOTAL INITIAL INVESTMENT,,,~$135,~₹11000,One-time,
TOTAL ANNUAL RECURRING,,,~$115,~₹9500,Yearly,Domain + Apple Developer
,,,,,,
========================================,,,,,,
PART 2: NAMING CONVENTION & ACCOUNTS,,,,,,
========================================,,,,,,
,,,,,,
Service,Account Name,Username/ID,Email to Use,Notes,,
AWS Account,BrickPro Production,brickpro-prod,admin@brickpro.in,Root account - secure with MFA,,
AWS IAM User,brickpro-admin,brickpro-admin,Same,For daily use (never use root),,
AWS IAM User,brickpro-deploy,brickpro-deploy,Same,For CI/CD deployments only,,
Domain,brickpro.in,,admin@brickpro.in,Primary domain,,
GitHub,brickpro-app,brickpro-app,dev@brickpro.in,Code repository,,
Google Play,BrickPro,com.brickpro.app,admin@brickpro.in,Android package name,,
Apple Developer,BrickPro,com.brickpro.app,admin@brickpro.in,iOS bundle identifier,,
Expo,brickpro,brickpro,dev@brickpro.in,EAS builds,,
,,,,,,
--- AWS RESOURCE NAMING ---,,,,,,
Resource,Name,Region,Purpose,,,
VPC,brickpro-vpc,ap-south-1,Network isolation,,,
Subnet (Public),brickpro-public-1a,ap-south-1a,EC2 + NAT,,,
Subnet (Private),brickpro-private-1a,ap-south-1a,RDS,,,
Security Group,brickpro-ec2-sg,ap-south-1,EC2 firewall rules,,,
Security Group,brickpro-rds-sg,ap-south-1,RDS firewall rules,,,
EC2 Instance,brickpro-api-server,ap-south-1,Backend API,,,
RDS Instance,brickpro-db,ap-south-1,PostgreSQL database,,,
S3 Bucket,brickpro-uploads-prod,ap-south-1,File uploads,,,
S3 Bucket,brickpro-web-prod,ap-south-1,Web app hosting,,,
S3 Bucket,brickpro-admin-prod,ap-south-1,Admin panel hosting,,,
CloudFront,brickpro-cdn,Global,CDN for web apps,,,
Route 53,brickpro.in,Global,DNS management,,,
ACM Certificate,*.brickpro.in,us-east-1,SSL (must be us-east-1 for CloudFront),,,
Key Pair,brickpro-key,ap-south-1,SSH access to EC2,,,
IAM Role,brickpro-ec2-role,Global,EC2 permissions for S3,,,
,,,,,,
