Section,Item,Details,Cost,Time,Notes
,,,,, 
========================================,,,,, 
APPLE APP STORE - iOS DEPLOYMENT,,,,, 
========================================,,,,, 
,,,,, 
PREREQUISITES,,,,, 
,,,,, 
Requirement,Details,How to Get,Cost,, 
Apple ID,Apple account,Create at appleid.apple.com,$0,, 
Apple Developer Account,Developer Program membership,developer.apple.com/programs,$99/year,, 
Mac Computer,Required for certificates (or use EAS),Can use EAS Build cloud,$0 (with EAS),, 
EAS Account,Expo Application Services,expo.dev (sign up free),$0,, 
D-U-N-S Number,Required for Organization account (optional),dnb.com (free lookup),$0,, 
App Icon,1024x1024 PNG (no alpha/transparency),Design in Canva/Figma,$0,, 
Screenshots,6.7" and 5.5" iPhone screenshots,Take from simulator,$0,, 
Privacy Policy URL,Hosted privacy policy page,Host on your website,$0,, 
,,,,, 
========================================,,,,, 
COSTS BREAKDOWN,,,,, 
========================================,,,,, 
,,,,, 
Item,Cost,Type,Frequency,, 
Apple Developer Program,$99,Annual,Every year (must renew),, 
EAS Build (Free tier),Free,Per month,26 builds/month free,, 
EAS Build (Production tier),$99/month,Monthly,Unlimited + priority queue,, 
Apple Service Fee,15% (Small Business Program),Per transaction,On in-app purchases only,, 
Apple Service Fee (Standard),30%,Per transaction,If revenue > $1M/year,, 
Mac Mini (if needed),$599+,One-time,Only if you don't have a Mac,, 
,,,,, 
TOTAL MINIMUM COST,$99/year,Annual,,, 
,,,,, 
========================================,,,,, 
APPLE DEVELOPER ACCOUNT SETUP,,,,, 
========================================,,,,, 
,,,,, 
Step,Action,Details,Time,Notes, 
1,Create Apple ID,appleid.apple.com > Create Your Apple ID,5 min,Use business email, 
2,Enable 2FA,Settings > Security > Two-Factor Authentication,5 min,Required for developer account, 
3,Enroll in Developer Program,developer.apple.com/programs > Enroll,10 min,Choose Individual or Organization, 
4,Pay $99 Fee,Complete payment,2 min,Credit/Debit card, 
5,Wait for Approval,Apple reviews enrollment,24-48 hours,Organization takes longer (needs D-U-N-S), 
6,Accept Agreements,App Store Connect > Agreements,5 min,Accept all license agreements, 
,,,,, 
========================================,,,,, 
APP CONFIGURATION FILES,,,,, 
========================================,,,,, 
,,,,, 
Step,File,Content/Changes,Command,, 
1,app.json - iOS Config,"{ ""expo"": { ""ios"": { ""bundleIdentifier"": ""com.brickpro.app"", ""buildNumber"": ""1"", ""supportsTablet"": true, ""infoPlist"": { ""NSCameraUsageDescription"": ""Upload invoices and challans"", ""NSPhotoLibraryUsageDescription"": ""Select photos for uploads"" } } } }",Edit app.json,, 
2,eas.json - iOS Build,"{ ""build"": { ""production"": { ""ios"": { ""distribution"": ""store"", ""autoIncrement"": true } }, ""preview"": { ""ios"": { ""distribution"": ""internal"", ""simulator"": false } } }, ""submit"": { ""production"": { ""ios"": { ""appleId"": ""your@email.com"", ""ascAppId"": ""1234567890"", ""appleTeamId"": ""XXXXXXXXXX"" } } } }",Edit eas.json,, 
3,Update API URL,"Change baseURL in src/lib/api.ts to https://api.brickpro.in/api",Edit api.ts,, 
,,,,, 
========================================,,,,, 
CERTIFICATES & PROVISIONING (EAS handles this),,,,, 
========================================,,,,, 
,,,,, 
Step,Action,Details,Time,Notes, 
1,EAS manages certificates,EAS Build auto-creates and manages certificates,0 min,No manual cert management needed, 
2,First build prompt,EAS will ask to create new credentials on first build,2 min,Select "Let EAS handle it", 
