Section,Item,Details,Cost,Time,Notes
,,,,, 
========================================,,,,, 
GOOGLE PLAY STORE - ANDROID DEPLOYMENT,,,,, 
========================================,,,,, 
,,,,, 
PREREQUISITES,,,,, 
,,,,, 
Requirement,Details,How to Get,Cost,, 
Google Account,Gmail account for Play Console,Create at accounts.google.com,$0,, 
Google Play Console,Developer account registration,play.google.com/console/signup,$25 (one-time),, 
EAS Account,Expo Application Services,expo.dev (sign up free),$0,, 
App Icon,512x512 PNG (no transparency),Design in Canva/Figma,$0,, 
Feature Graphic,1024x500 PNG,Required for Play Store listing,$0,, 
Screenshots,Min 2 screenshots per device type,Take from emulator/device,$0,, 
Privacy Policy URL,Hosted privacy policy page,Host on your website,$0,, 
,,,,, 
========================================,,,,, 
COSTS BREAKDOWN,,,,, 
========================================,,,,, 
,,,,, 
Item,Cost,Type,Frequency,, 
Google Play Console Registration,$25,One-time,Lifetime,, 
EAS Build (Free tier),Free,Per month,26 builds/month free,, 
EAS Build (Production tier),$99/month,Monthly,Unlimited builds + priority,, 
Google Play Service Fee,15% (first $1M),Per transaction,On in-app purchases only,, 
,,,,, 
TOTAL MINIMUM COST,$25,One-time,,, 
,,,,, 
========================================,,,,, 
APP CONFIGURATION FILES,,,,, 
========================================,,,,, 
,,,,, 
Step,File,Content/Changes,Command,, 
1,app.json - Basic Config,"{ ""expo"": { ""name"": ""BrickPro"", ""slug"": ""brickpro"", ""version"": ""1.0.0"", ""android"": { ""package"": ""com.brickpro.app"", ""versionCode"": 1, ""adaptiveIcon"": { ""foregroundImage"": ""./assets/adaptive-icon.png"", ""backgroundColor"": ""#6C63FF"" }, ""permissions"": [""NOTIFICATIONS"", ""CAMERA""] } } }",Edit app.json,, 
2,eas.json - Build Config,"{ ""build"": { ""production"": { ""android"": { ""buildType"": ""app-bundle"" } }, ""preview"": { ""android"": { ""buildType"": ""apk"" } } } }",Create eas.json,, 
3,Update API URL,Change baseURL in src/lib/api.ts to https://api.brickpro.in/api,Edit api.ts,, 
,,,,, 
========================================,,,,, 
BUILD & DEPLOY STEPS,,,,, 
========================================,,,,, 
,,,,, 
Step,Action,Command,Time,Notes, 
1,Login to Expo,npx eas login,1 min,Use Expo account credentials, 
2,Configure EAS,npx eas build:configure,2 min,Creates eas.json if not exists, 
3,Build Preview APK (testing),npx eas build --platform android --profile preview,10-15 min,Generates .apk for testing, 
4,Test APK on device,Download APK from EAS dashboard and install,5 min,Test all features thoroughly, 
5,Build Production AAB,npx eas build --platform android --profile production,10-15 min,Generates .aab (App Bundle), 
6,Download AAB,Download from expo.dev dashboard,1 min,Save the .aab file, 
,,,,, 
--- PLAY CONSOLE SETUP ---,,,,, 
7,Create App,Play Console > All apps > Create app,5 min,"Fill: App name, language, app/game, free/paid", 
8,Store Listing,Play Console > Store presence > Main store listing,20 min,See STORE LISTING section below, 
9,Content Rating,Play Console > Policy > App content > Content rating,10 min,Fill IARC questionnaire, 
10,Target Audience,Play Console > Policy > App content > Target audience,5 min,Select 18+ (business app), 
11,Privacy Policy,Play Console > Policy > App content > Privacy policy,2 min,Add your privacy policy URL, 
12,Data Safety,Play Console > Policy > App content > Data safety,15 min,Declare what data you collect, 
13,App Access,Play Console > Policy > App content > App access,5 min,"Provide test credentials (email: admin@factory.com, pw: Admin@123)", 
,,,,, 
--- RELEASE ---,,,,, 
